product_name,product_price,Rate,Review,text,labels,sentiment_code
sulfur best buy ultra dj sound blast portable best bluetoothwith super deep bass wireless rechargeable dj sound bluetooth extra baas stereo sound quality led colour changing lights  mini home theatre speaker support tfusbpen driveaux slot 10 w bluetooth car speakerblack stereo channel,499.0,5.0,perfect product,good product,positive,2
wd elements 2 tb wired external hard disk drive hddblack,5499.0,5.0,simply awesome,good product fast delivery,positive,2
voltas beko dt8b free standing 8 place settings intensive kadhai cleaning no prerinse required dishwasher,20990.0,5.0,wonderful,a very good product for its price good for a pack of 4 adults cooking utensils advised to scrub once before placing in to the machine,positive,2
voltas beko dt8b free standing 8 place settings intensive kadhai cleaning no prerinse required dishwasher,20990.0,3.0,good,product is some how good but installation person didnt install it on tap they told company didnt provided him any busher so they didnt installed it successfully so i didnt liked the company reviews so much,neutral,1
aroma nb119 titanium  48 hours playtime bluetooth neckband bluetooth headsetgreen in the ear,499.0,5.0,mindblowing purchase,looking nice awesome product,positive,2
boat rockerz 510 super extra bass bluetooth headsetmolten orange on the ear,1199.0,5.0,great product,pros 1 awesome sound quality with2 best build quality3 comfortable 4funky awesome look 5 at this price cons 1 cant fold it like jbl headphones sound quality is same as jbl 460bt or may be better im using both at same time,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,best in the market,very good product,positive,2
kent vegetable cleaner  counter top 250 w food processorsilver black,2695.0,5.0,terrific purchase,good,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,5.0,highly recommended,best cooler,positive,2
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,awesome,value of money,positive,2
stylera 5 pair anti cutting cut resistant hand safety gloves cutproof protection with rubber grade wet and dry glove nylon rubber  safety gloves10,236.0,5.0,fabulous,superb,positive,2
hindware ripple 90 auto clean wall mounted chimneyinox 1350 cmh,14299.0,4.0,wonderful,looks so good and beautiful,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,4.0,pretty good,overall good product,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,5.0,terrific,very good product,positive,2
oneplus bullets wireless z2 bluetooth headsetacoustic red in the ear,1999.0,5.0,worth every penny,i promise you this is one of the best headphones in the worldswe cant bring this type headphones at this price range,positive,2
oneplus bullets wireless z2 with fast charge 30 hrs battery life earphones with mic bluetooth headsetmagico black in the ear,1999.0,5.0,great product,very nice nice voice,positive,2
boat rockerz 510 super extra bass bluetooth headsetmolten orange on the ear,1199.0,5.0,worth every penny,its a beasti cant say everything herebut believe me its far better than jbl alsoi used both product but as per my choice i can definitely say that its far better than jblthe bass is extra ordinary and theres no lag while playing pubgso also good for gaming purposebut the one thing which is good in jbl which is the comfort levelyaa its not that much comfortable but yaa for 23 hours of usage there will be no issuesgo for it,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,awesome,very good comfortable,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,perfect product,fantastic,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,just wow,nice product,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,excellent,wonderful product,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,4.0,wonderful,fantastic,positive,2
maharaja whiteline 65 l desert air coolerwhite grey rambo grey  ac303,7999.0,5.0,must buy,best dessert cooler in plastic body with lower power consumption,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,fabulous,good quality,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,2.0,could be way better,its so expensive quantity low its bad product,negative,0
pigeon favourite electric kettle15 l silver black,699.0,4.0,valueformoney,the best product,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,simply awesome,i have not received yet and its showing delivered pls help urgently,positive,2
bluechip bl43smarttv tv voltage stabilizer for led tvsmart tv up to 43 inches  set top boxroyal blue,1256.0,2.0,expected a better product,so far so good i had this voltages fluctuate situation at my home and all my lights were flickering and dimming but my tv didnt face any issues bcz of this awesome product i had cut the power to tv immediately but that is another thing i think tv might get damaged if i was not using this bluechip update on june 3rd it stopped working all of sudden and tried to contact for warranty but i got no response,negative,0
ceat hitman full size double blade poplar cricket bat  advance play poplar willow cricket  bat12 kg,329.0,4.0,really nice,looks quality product bt not sure how much stronger it is,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,5.0,worth every penny,money weast useless product,negative,0
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,simply awesome,best products branded,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,5.0,perfect product,excellent product i like this product,positive,2
hindware nevio plus 60  auto clean wall mounted chimneyblack 1400 cmh,13999.0,5.0,perfect product,super,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,super,very good thank you ecart,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,4.0,good choice,its a great entry level dslrif you are new into the photography or video making then you may go for this productbut i would suggest you to buy canon 1500d if you canafter you will be used to this product then you will feel like you have to upgrade but you may not be able to buy the new oneso go for canon 1500d if you are buying this if you cant afford that then you may go for this oneat last you are the user you must know what to buydo some research on what you really need,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,4.0,very good,good quality thanks to flipkart,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,terrific purchase,fully satisfied it act as bluetooth speaker anythg and everything radio its only thing it needs a wifi,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,5.0,fabulous,amazing product came before delivery date no issues regarding the product happy with it,positive,2
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,5.0,mindblowing purchase,installed by companys good engineer and working properly,positive,2
atomberg renesa 1200 mm bldc motor with remote 3 blade ceiling fanivory  black pack of 1,3569.0,5.0,just wow,really good,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,2.0,bad quality,cooler was not goodnew coolers pump was faulty,negative,0
ifb neptune sx1 free standing 15 place settings with germfree hygienic wash made for indian kitchens steam drying energy efficient dishwasher,44490.0,5.0,worth every penny,beat pdr,positive,2
tata sky tatasky 03 dth univeral sd  hd set up box remote controller with batteries black tatasky remote controllerblack,205.0,3.0,nice,sometimes didnt work,negative,0
wd 15 tb wired external hard disk drive hddblack,4449.0,4.0,good choice,we get only 139 tb if we buy 15tb otherwise this is the bestone,neutral,1
bluechip bl43smarttv tv voltage stabilizer for led tvsmart tv up to 43 inches  set top boxroyal blue,1256.0,4.0,nice product,nice product suitable for led tv 32inch to 43 inch,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,5.0,fabulous,good camera,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,4.0,wonderful,good product by google,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,4.0,nice product,nise,positive,2
flipkart smartbuy cfxb15 electric rice cooker15 l white,1499.0,1.0,unsatisfactory,cook and warm buttons not working properly,negative,0
prestige prwo 182 electric rice cooker with steaming feature18 l white,2454.0,1.0,absolute rubbish,very bad product got a used one i purchased it for my parents quality is also not up to the mark,negative,0
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,must buy,good product everything super,positive,2
victory medium weight  pack of 1  rubber cricket tennis ball cricket rubber ballpack of 1,59.0,1.0,hated it,worst prodect its just broke in one hit,negative,0
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,1.0,very poor,bad sound thu,negative,0
tata sky works with all tv tatasky set top box tatasky sd set top box tatasky hd set top box tatasky dth setup box remote controllerblack,209.0,4.0,nice product,no comments,negative,0
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,4.0,really nice,the size of this cooler is too big so if youre living in 1bhk apartment this is not you should go for overall the cooler is very good a bit loud in sound consume more water but mainly its solve the purpose,positive,2
stylera 5 pair anti cutting cut resistant hand safety gloves cutproof protection with rubber grade wet and dry glove nylon rubber  safety gloves10,236.0,3.0,just okay,average good,positive,2
bosch sms66gi01i free standing 13 place settings intensive kadhai cleaning no prerinse required dishwasher,44890.0,4.0,good choice,saving time very useful and the best i have relief from maid and i have a piece of mind we can use it more time it automtilly switch off when the selected mode time is completed very helpful to me must buy dont think just awesome,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,brilliant,great device to control your house,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,2.0,not good,i didnt expect this from google home it hardly listen to anything despite of saying 100 times so many connectivity issues,negative,0
fashion tree tw12 steel toe genuine leather safety shoeblack sb,799.0,4.0,valueformoney,product is ok but one day deley receieved,positive,2
aroma nb119 titanium  48 hours playtime bluetooth neckband bluetooth headsetgreen in the ear,499.0,5.0,awesome,nice product,positive,2
maharaja whiteline 65 l desert air coolerwhite grey rambo grey  ac303,7999.0,1.0,very poor,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,negative,0
boat rockerz 510 super extra bass bluetooth headsetmolten orange on the ear,1199.0,5.0,terrific,awesome product with superb features and it works better than as i expected especially the battery backup its just excellent fir for battery and bass i would definitely give it 1110if you are thinking about the headphones then you will definitely miss it go blindly,positive,2
mivi fort s16 soundbar with 2 full range drivers made in india 16 w bluetooth soundbarblack 20 channel,1499.0,5.0,excellent,good sound quality and basa is also very nice and blutooth connectivity is also very fast and accurate proudly sharing my honest opinion about our indian product its build quality is very strong and attractive looking and battery backup also good and value for money product,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,5.0,terrific,very nice fan,positive,2
oneplus bullets wireless z2 with fast charge 30 hrs battery life earphones with mic bluetooth headsetmagico black in the ear,1999.0,5.0,just wow,outstanding bass outstanding battery backup,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,3.0,does the job,ok ok,neutral,1
atomberg renesa 1200 mm bldc motor with remote 3 blade ceiling fanivory  black pack of 1,3569.0,5.0,great product,best bdlc fans and very energy efficientelegant designmade in india by iits so support home grown companyit wont disappoint you for anything,positive,2
candes florence 1200 mm energy saving 3 blade ceiling fansilver blue pack of 2,2879.0,1.0,waste of money,all parts are old the fan is coming so noisei know technician person he came and told that parts are old they have to replace with new partswhen i called to customer care no technician has came to homeworst product,positive,2
inalsa maxie marvel 800 w food processorwhite,6029.0,5.0,brilliant,excellent product prompt delivery as promised,positive,2
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,highly recommended,product is nicesound quality is also very good and easy to carry somewhere,positive,2
whirlpool classic cf 60 bk hood 60 cm 750 mhr wall mounted chimneyblack 750 cmh,5298.0,5.0,wonderful,good productsbut pip not inbult,positive,2
inalsa fiesta lx 650 w food processorwhite,5039.0,1.0,utterly disappointed,worst product delivered by flipkart it seems like a used product and moreover the motor of the product was not working disappointed from flipkart,neutral,1
rixen cricket net 20x10 feet cricket netblue,349.0,5.0,excellent,nice quality for tennis ball,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,classy product,got this deal in just rs 539 product is awesome worth buying,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,1.0,very poor,no work it is of no use,negative,0
ifb neptune sx1 free standing 15 place settings with germfree hygienic wash made for indian kitchens steam drying energy efficient dishwasher,44490.0,2.0,bad quality,good satisfied,positive,2
usha fp 3810 1000 w food processorblack silver,9990.0,5.0,best in the market,awesome and orginal product thanks usha and flipcart,positive,2
sulfur best buy ultra dj sound blast portable best bluetoothwith super deep bass wireless rechargeable dj sound bluetooth extra baas stereo sound quality led colour changing lights  mini home theatre speaker support tfusbpen driveaux slot 10 w bluetooth car speakerblack stereo channel,499.0,5.0,terrific purchase,very good item,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,fabulous,everything of this device is absolutely greati have to say that the sound which this device produce is so fine and natural,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,awesome,no wordsto say awesome fabulous highly recommend,positive,2
seagate expansion for windows and mac with 3 years data recovery services  portable 1 tb external hard disk drive hddblack,4098.0,5.0,classy product,excellent product value for money,positive,2
prestige atlas delight electric rice cooker18 l blue,2399.0,4.0,delightful,super product very nice,positive,2
victory medium weight  pack of 1  rubber cricket tennis ball cricket rubber ballpack of 1,59.0,5.0,terrific,ok nice ball,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,5.0,must buy,value for money good transfer rate,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,5.0,awesome,good performance,positive,2
pigeon favourite electric kettle15 l silver black,699.0,5.0,just wow,superb kettlevery fast boiling and good comfort,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,4.0,valueformoney,nice,positive,2
oneplus bullets wireless z2 bluetooth headsetacoustic red in the ear,1999.0,5.0,worth every penny,vary good product just go for it,positive,2
sulfur best buy ultra dj sound blast portable best bluetoothwith super deep bass wireless rechargeable dj sound bluetooth extra baas stereo sound quality led colour changing lights  mini home theatre speaker support tfusbpen driveaux slot 10 w bluetooth car speakerblack stereo channel,499.0,5.0,super,nice sund,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,4.0,good choice,good dslr for beginners,positive,2
kent vegetable cleaner  counter top 250 w food processorsilver black,2695.0,4.0,delightful,nice product,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,3.0,good,no battery backup,negative,0
ifb neptune vx plus free standing 15 place settings with germfree hygienic wash made for indian kitchens steam drying energy efficient dishwasher,41990.0,5.0,must buy,excellent product,positive,2
tata sky tatasky 03 dth univeral sd  hd set up box remote controller with batteries black tatasky remote controllerblack,205.0,1.0,absolute rubbish,ok,neutral,1
victory heavy plastic cricket stumps setblue,299.0,5.0,mindblowing purchase,good quality stumps go for it value for money,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,5.0,great product,its amazing product,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,4.0,delightful,nice rice only 10 minit time,positive,2
sportsoul cotton gym  athletic abdomen supportblue,249.0,5.0,wonderful,best product,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,1.0,did not meet expectations,wobbling at starting abnormal sound also,negative,0
airtel regular digital tv dth remote compatible with sd and hd recording black airtel remote controllerblack,215.0,5.0,perfect product,nice produced,positive,2
inalsa fiesta lx 650 w food processorwhite,5039.0,1.0,hated it,very bad product,negative,0
pigeon favourite electric kettle15 l silver black,699.0,4.0,pretty good,just oknice,positive,2
wd 15 tb wired external hard disk drive hddblack,4449.0,3.0,good,available space is 132 gb not 15 gb,neutral,1
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,5.0,worth every penny,best handy camera for beginners nice packaging and i recieved the delivery than the actual date given by the flipkart,positive,2
glun water quality purity tester 0990 ppm digital tds meter,199.0,1.0,not recommended at all,not giving correct reading,negative,0
pigeon favourite electric kettle15 l silver black,699.0,3.0,just okay,not bad,neutral,1
wd 15 tb wired external hard disk drive hddblack,4449.0,5.0,perfect product,its my 1st hdd glad to have it i brought this product in 2019 and writing this review after using it for around 2 yrs it gives me a transfer speed of 100135 mbps usb 30 and 2535 mbps usb 20 to my laptop still it is working as same as i bought it new,positive,2
maharaja whiteline 65 l desert air coolerwhite grey rambo grey  ac303,7999.0,5.0,simply awesome,very nice products,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,1.0,very poor,use only smart devices,positive,2
inalsa fiesta lx 650 w food processorwhite,5039.0,3.0,nice,stopped working in 5 monthsnot expected that it will get repair that soonproblems started,negative,0
eurodomo hood indigo pro hc sc fl bk 60 auto clean wall mounted chimneyblack 1200 cmh,7599.0,5.0,simply awesome,very poor installation n took very long time for installation and still paid 700 rs for installing n still not satisfying result,negative,0
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,best in the market,very like super,positive,2
ozarro black canvas light weight steel toe safety shoes s4420 steel toe canvas safety shoeblack s1,999.0,5.0,simply awesome,very good pproductand quality is too goodmust buy this shoes,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,1.0,not recommended at all,too bad air throw also cooling proper ventilated room but given too much humidity,negative,0
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,4.0,good choice,great camera but i didnt got the data cable,positive,2
bajaj crest neo 1200 mm 3 blade ceiling fanbrown pack of 1,1349.0,5.0,simply awesome,best fan,positive,2
wd elements 2 tb wired external hard disk drive hddblack,5499.0,5.0,brilliant,more than product i loved flipkart service delivered next day i am a fan of flipkart always genuine product and at a very genuine price,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,1.0,horrible,does not connect with the phone,negative,0
lurags diamond natural brown set of 6 stumps with bailsbrown,469.0,3.0,good,stumps are heavy but are too weak while playing with tennis ball at a speed 80 mph it broke,negative,0
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,5.0,brilliant,good product,positive,2
crompton hill briz deco 1200 mm 3 blade ceiling fansmoked brown pack of 1,1799.0,5.0,must buy,nice products fan speed look like ac full cool,positive,2
yuv digital lcd precalibrated tds meter tester portable pen 001 high accurate filter measuring water quality purity test analyzer tool for aquarium pool hydroponics  drinking ro water digital tds meter,190.0,5.0,excellent,very good product easy to use,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,perfect product,value for money,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,5.0,great product,just osm instead of wd seagate is best one i think,positive,2
sportsoul cotton gym  athletic abdomen supportblue,249.0,5.0,fabulous,good product,positive,2
boat rockerz 510 super extra bass bluetooth headsetmolten orange on the ear,1199.0,5.0,highly recommended,best in class of bass you cant feel the dolby type effects like the sound goes from left to right only you can feel a heavy bass and heavy sound from both the end no compromise in sound i felt if you look forward a clarity sound effects on your ears like dolby atoms then go for sennheiser or sony,positive,2
crompton hill briz deco 1200 mm 3 blade ceiling fansmoked brown pack of 1,1799.0,4.0,pretty good,nice,positive,2
eurodomo hood indigo pro hc sc fl bk 60 auto clean wall mounted chimneyblack 1200 cmh,7599.0,5.0,wonderful,good,positive,2
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,5.0,super,good product,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,4.0,worth the money,easy handing good product,positive,2
sulfur best buy ultra dj sound blast portable best bluetoothwith super deep bass wireless rechargeable dj sound bluetooth extra baas stereo sound quality led colour changing lights  mini home theatre speaker support tfusbpen driveaux slot 10 w bluetooth car speakerblack stereo channel,499.0,3.0,fair,product is nice but sound not satisfied,negative,0
glun water quality purity tester 0990 ppm digital tds meter,199.0,5.0,brilliant,works well best in market for this price,positive,2
ozarro black canvas light weight steel toe safety shoes s4420 steel toe canvas safety shoeblack s1,999.0,1.0,hated it,very disappointed with the product quality is not good and you send left one with 9 inches and right one with 8 inches,negative,0
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,awesome,bass is always good nice look product and battery backup is most long time use,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,awesome,wonderful product,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,1.0,very poor,waste product for home use it cannot be used in home because of it makes very noise and hot water vapours,negative,0
bluechip bl55smarttv21amp tv voltage stabilizer for led tvsmart tv up to 55 inches  set top box  home theaterseagreen,1401.0,1.0,utterly disappointed,worst stabilizer,negative,0
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,5.0,awesome,nice product,positive,2
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,4.0,worth the money,this product is very nice,positive,2
bajaj fx11 food factory 600 w food processorwhite,6525.0,4.0,good product excellent service,receieved the product 2 days before the promised delivery date excellent packing using the product first time noticed that with the speed regulator set to 3 the motor was not running but was running ok in other speeds called up bajaj service and surprise they sent home the service technician home and it was rectified it was only a connecting cable dislodged but the prompt service is very much appreciated product was fully sealed and brand new product which i very much doubt you wil,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,terrific,is so good,positive,2
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,4.0,delightful,good products,positive,2
luminous vento dlx 150 mm 5 blade exhaust fanwhite,1448.0,3.0,nice,good one i like itthanks,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,5.0,brilliant,very nice thanks ekart,positive,2
aroma nb119 titanium  48 hours playtime bluetooth neckband bluetooth headsetgreen in the ear,499.0,4.0,really nice,smart sound,positive,2
oneplus bullets wireless z2 bluetooth headsetacoustic red in the ear,1999.0,5.0,terrific,super bass super sound thanks flipkart,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,5.0,simply awesome,geart app,positive,2
hindware nevio plus 60  auto clean wall mounted chimneyblack 1400 cmh,13999.0,5.0,best in the market,item is really good and awesome,positive,2
oneplus bullets wireless z2 with fast charge 30 hrs battery life earphones with mic bluetooth headsetmagico black in the ear,1999.0,3.0,decent product,sound is great but the built quality is cheap,positive,2
seagate one touch with password protection for windows  mac with 3 years data recovery services  portable 2 tb external hard disk drive hddlight blue,5599.0,4.0,really nice,nice one,positive,2
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,terrific,super thank you flipkart,positive,2
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,5.0,simply awesome,thank you so much,positive,2
aroma nb119 titanium  48 hours playtime bluetooth neckband bluetooth headsetgreen in the ear,499.0,5.0,awesome,the best,positive,2
adonai pot15lpink rice cooker food steamer travel cooker slow cooker electric pressure cooker15 l pink,599.0,5.0,classy product,vry nice,positive,2
mivi roam2 5 w bluetooth speakerblack mono channel,1099.0,1.0,hated it,after only 1 month aux port is not working properly and bluetooth is disconnected automatically during the play musicand customer support is not well totally wasted if money this is my 1st mivi bluetooth speaker i am very disappointmivi customer support not welldont purchase this,negative,0
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,awesome,good products,positive,2
inalsa fiesta 650 w food processorwhite,5390.0,1.0,bad product really disappointed,i want to return it no replacement cutter quality is very bad but now stuck to this scrap product last item bought from here,negative,0
adroitz superior quality anti cut safety hand glove13 nylon synthetic latex  safety gloves8,209.0,2.0,slightly disappointed,quality is poor,negative,0
zebronics zebvita plus 16 w bluetooth laptopdesktop speakerblack stereo channel,1349.0,1.0,did not meet expectations,battery problem,negative,0
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,1.0,absolute rubbish,it not detects wifi,negative,0
lakm eyeconic kajal twin packdeep black 07 g,218.0,5.0,must buy,thank you flipkart,positive,2
oneplus bullets wireless z2 bluetooth headsetacoustic red in the ear,1999.0,5.0,wonderful,deep bass,neutral,1
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,5.0,mindblowing purchase,excellent quality,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,simply awesome,fabulous,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,5.0,classy product,best,positive,2
